cycle,time,yaw,pitch,roll,temperature
1,1720687250541,163.41225,-3.753921,1.331093,42.1875
2,1720687279094,170.86046,-1.297081,-3.899698,42.25
3,1720687309090,195.53813,3.52328,-10.375039,42.3125
4,1720687341091,183.02472,-10.012605,9.875182,42.375
5,1720687371090,171.97731,-10.059235,-3.131671,42.5
6,1720687401087,182.596,-5.39646,-4.335807,42.625
7,1720687431084,173.71237,0.2812208,1.034568,42.75
8,1720687461088,234.92816,45.916695,-9.838946,42.8125
9,1720687493084,260.11148,52.479507,15.359507,42.9375
10,1720687523080,243.2315,32.270607,-12.048443,43.125
11,1720687553119,218.15962,-1.016516,-8.212778,43.25
12,1720687583075,201.85541,-8.981466,4.684076,43.4375
13,1720687615127,203.50197,-4.390982,6.645409,43.5625
14,1720687645077,186.65157,3.661652,-4.581976,43.625
15,1720687675077,196.69312,-1.098407,-9.984515,43.75
16,1720687705069,186.81909,-7.795512,3.194421,43.8125
17,1720687737074,156.93398,-0.716532,-1.105534,44.0
18,1720687767073,176.37085,-6.004728,1.933014,44.0625
19,1720687797067,148.69745,-2.310247,-0.5178375,44.1875
20,1720687827066,109.34975,-1.874606,10.391801,44.25
